symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
SUI/USDT-layer4,short,1.088338,1.051,1407.0876894031453,1583.3122870558914,51.92528534625092,51.92528534625092,3.389379920221993,3.3926442962128305,网格止盈-4,1,2023-05-21 20:15:00,1531.9995565103243,grid,bearish,2023-05-22 00:45:00,trending_down,4.0
SUI/USDT,short,1.064,1.0474393741123826,2763.1578947368416,2984.583624163153,44.58362416315339,72.50067679473236,1.7255163837972516,1.3894115247406755,止损,1,2023-05-22 00:15:00,4201.68,trend,bearish,2023-05-22 02:30:00,trending_down,
SUI/USDT,short,1.0502,1.0573131880287827,4027.561116219565,4199.4039868630025,-30.340697390785177,-30.340697390785177,-0.717030653819475,-1.0000000000000138,止损,1,2023-05-22 20:15:00,4231.436582127489,trend,bearish,2023-05-22 21:15:00,trending_down,
SUI/USDT,short,1.0555,1.0555,2796.2138284887656,2950.2231344915044,-1.180561478387957,15.689955250769032,0.37197816278510415,0.0,止损,1,2023-05-22 21:30:00,4217.9775106404,trend,bearish,2023-05-23 01:15:00,range_bound,
SUI/USDT,short,1.062,1.0743443970144388,3975.680262298488,4171.406194025289,-50.76624453570508,-50.76624453570508,-1.2018918434922443,-0.9999999999999954,止损,1,2023-05-23 01:30:00,4223.861307536418,trend,bearish,2023-05-23 03:15:00,range_bound,
SUI/USDT-layer4,short,1.0876000000000001,1.051,1408.997919327136,1583.3824904527428,50.95635339254937,50.95635339254937,3.3238782456859273,2.3878421503291394,网格止盈-4,1,2023-05-23 03:45:00,1533.0391075150176,grid,bearish,2023-05-23 18:15:00,range_bound,4.0
SUI/USDT,short,1.0465,0.9835704242497272,2809.459057449043,3115.720930632005,175.62202701158142,220.751652175526,5.253713423869915,5.000000000000002,止盈,1,2023-05-24 00:15:00,4201.821347402674,trend,bearish,2023-05-24 04:15:00,trending_down,
SUI/USDT,short,0.999,1.0313303670105385,4296.447808872044,4151.528766016289,-140.62259504688237,-140.62259504688237,-3.274962988832344,-0.9999999999999991,止损,1,2023-05-24 04:30:00,4293.868221607597,trend,bearish,2023-05-28 16:15:00,range_bound,
SUI/USDT-layer3,short,1.024564,1.055566,1334.4135927087495,1325.2757611476106,-41.916367052436634,-41.916367052436634,-3.064646610035343,-2.519402367211353,网格止损-3,1,2023-05-28 21:15:00,1367.7390050513275,grid,bearish,2023-05-28 22:00:00,range_bound,3.0
SUI/USDT-layer1,short,1.0659,1.044736,1226.693172771007,1332.9709742639993,25.4387214073829,25.4387214073829,1.9447742059007116,1.4473765329055042,网格止盈-1,1,2023-05-28 22:15:00,1308.0552657577591,grid,bearish,2023-05-29 02:30:00,range_bound,1.0
