symbol,year,total_trades,grid_trades,trend_trades,grid_pnl,trend_pnl,grid_return,trend_return,total_return,total_pnl,win_rate,grid_win_rate,trend_win_rate,max_drawdown,sharpe,profit_factor,init_balance,final_equity
ICP,2022,1116,969,147,690.1318974725855,9906.085588891328,6.9013189747258545,99.06085588891328,47.233593450876235,10596.217486363914,63.620071684587806,64.60268317853458,57.14285714285714,3.088578378185744,3.1529275610831995,0.8310811582730392,20000,29446.718690175247
ADA,2022,959,819,140,6376.224711262853,9235.990972905493,63.762247112628536,92.35990972905492,44.48821964055343,15612.215684168346,64.12930135557873,65.56776556776556,55.714285714285715,4.305143165300285,2.53407767880839,0.8192194186261914,20000,28897.643928110687
BCH,2022,897,782,115,30.404751865669567,8661.22537837616,0.30404751865669566,86.6122537837616,41.96181040664022,8691.63013024183,65.99777034559644,66.75191815856778,60.86956521739131,2.6004290387633993,3.958828784394802,0.7955369628346871,20000,28392.362081328043
AVAX,2022,603,518,85,60.65143275533965,8461.192929482104,0.6065143275533965,84.61192929482104,41.389287125077644,8521.844362237443,64.8424543946932,65.05791505791507,63.52941176470588,2.653898018180121,6.4815649168335385,0.8405877662959109,20000,28277.85742501553
LTC,2022,923,808,115,75.6685409632474,7986.480465970546,0.756685409632474,79.86480465970546,38.25789674309553,8062.149006933793,65.33044420368364,65.71782178217822,62.60869565217392,1.8200911295829614,3.832263796268826,0.7941799391056246,20000,27651.579348619107
DOT,2022,500,427,73,202.51498620856879,7490.776429180782,2.025149862085688,74.90776429180782,36.72880886554676,7693.291415389351,64.8,64.87119437939111,64.38356164383562,2.0034306370659953,5.358305205555279,0.8583796252620728,20000,27345.761773109352
SOL,2022,532,450,82,33.169768668818655,7185.898140478574,0.33169768668818655,71.85898140478574,35.04675870108909,7219.067909147392,62.40601503759399,62.44444444444445,62.19512195121951,2.215463703968036,5.036456166652383,0.8752444834373009,20000,27009.35174021782
UNI,2022,631,565,66,523.386285400865,5988.672060920498,5.23386285400865,59.88672060920498,29.241371704719715,6512.0583463213625,66.71949286846277,67.2566371681416,62.121212121212125,1.3836125247922173,5.621069872319694,0.8096341454921738,20000,25848.274340943943
BNB,2022,763,575,188,5.03455731872349,6117.885487657057,0.05034557318723489,61.17885487657057,28.671457216769742,6122.92004497578,58.97771952817824,61.39130434782609,51.59574468085106,2.5773348660797732,3.509593943463019,0.8813841461333154,20000,25734.291443353948
AAVE,2022,672,612,60,25.219489734582975,5751.180689766651,0.2521948973458297,57.5118068976665,28.14858121612593,5776.400179501234,64.13690476190477,64.2156862745098,63.33333333333333,2.0924656623211755,5.592619081912805,0.7862829818040744,20000,25629.716243225186
LINK,2022,470,403,67,251.0380229769935,4198.236586053245,2.510380229769935,41.982365860532454,20.324625868186885,4449.274609030239,62.12765957446808,64.01985111662532,50.74626865671642,2.315325719651277,4.185777113178081,0.898905044045462,20000,24064.925173637377
ETH,2022,394,292,102,1.2509148038654536,3822.4849161908164,0.012509148038654537,38.22484916190817,18.139687625941697,3823.7358309946817,64.46700507614213,67.8082191780822,54.90196078431373,3.243761439534759,3.6637159348532977,0.9440877823036867,20000,23627.93752518834
BTC,2022,313,220,93,0.009029070654802452,3118.2464896324063,9.029070654802452e-05,31.182464896324063,14.707773009761876,3118.255518703061,59.7444089456869,60.909090909090914,56.98924731182796,1.7800315383207248,3.799874975172636,0.8641217098757552,20000,22941.554601952375
XRP,2022,430,398,32,2296.893352071412,1750.0518195838126,22.96893352071412,17.500518195838126,8.458083542450805,4046.945171655225,63.72093023255814,63.81909547738693,62.5,3.6848872051766133,1.3154524869462527,0.7497619989416968,20000,21691.61670849016
