symbol,side,entry,exit,qty,cash_return,remaining_pnl,total_pnl,total_pct,r,reason,phase,entry_time,cost,trade_type,big_trend,close_time,regime,grid_layer
LTC/USDT,short,142.8,134.40447624847837,20.588235294117645,3111.673018413681,171.67301841368075,224.99254782544566,5.354823495017365,4.999999999999992,止盈,1,2022-01-19 00:15:00,4201.68,trend,bullish,2022-01-19 07:00:00,trending_down,
LTC/USDT-layer1,long,133.2,135.87199999999999,0.09393778162546933,12.758509260010761,0.24599674749824874,0.24599674749824874,1.9652199180387884,1.3107829842873937,网格止盈-1,1,2022-01-19 07:45:00,12.517517517517518,grid,bullish,2022-01-19 11:00:00,range_bound,1.0
LTC/USDT-layer2,long,135.89999999999998,138.59999999999997,0.09012927274399818,12.48701777505178,0.2384496091424303,0.2384496091424303,1.9459765762569061,1.385796881589258,网格止盈-2,1,2022-01-19 09:15:00,12.253467593175715,grid,bullish,2022-01-20 02:30:00,range_bound,2.0
LTC/USDT-layer2,short,141.102,138.304,0.08361444587756124,12.027399495564177,0.22923395334853025,0.22923395334853025,1.9421858051580303,2.0165125372808177,网格止盈-2,1,2022-01-20 14:15:00,11.802884808432534,grid,bearish,2022-01-20 21:30:00,range_bound,2.0
LTC/USDT-layer3,long,138.708,134.577,0.08652143648478587,11.638994871648254,-0.36222054028342315,-0.36222054028342315,-3.016992009321369,-2.2220749218424602,网格止损-3,1,2022-01-19 14:45:00,12.00601589809645,grid,bullish,2022-01-20 21:45:00,range_bound,3.0
LTC/USDT-layer9,short,122.69599999999998,120.25799999999998,0.1105569656050667,13.829009375043663,0.2641119231644012,0.2641119231644012,1.9462463433482993,0.7170519622580301,网格止盈-9,1,2022-01-21 13:15:00,13.570323410860013,grid,bearish,2022-01-21 13:30:00,range_bound,9.0
LTC/USDT-layer10,short,120.40199999999999,124.03499999999998,0.11496915714649318,13.41929650425536,-0.42321995449671,-0.42321995449671,-3.056169269970784,-1.0222619292470363,网格止损-10,1,2022-01-21 13:00:00,13.848053465335571,grid,bearish,2022-01-21 15:45:00,range_bound,10.0
LTC/USDT-layer8,short,124.85399999999998,122.37599999999999,0.10676929057041362,13.589815077709954,0.259242072831533,0.259242072831533,1.9439405745703024,0.8253054810719336,网格止盈-8,1,2022-01-21 16:00:00,13.335905234080371,grid,bearish,2022-01-21 17:15:00,range_bound,8.0
LTC/USDT-layer9,short,122.63199999999999,120.18599999999999,0.11067525902876721,13.837611117454058,0.2652827522382781,0.2652827522382781,1.9538039047542297,0.7025097491310772,网格止盈-9,1,2022-01-21 13:45:00,13.577757296561867,grid,bearish,2022-01-21 20:00:00,trending_down,9.0
LTC/USDT-layer10,short,120.36599999999999,117.1,0.1148827079143848,14.19764775606289,0.3696757352400506,0.3696757352400506,2.6723218958931154,1.2836202400806844,网格止盈-10,1,2022-01-21 19:30:00,13.833503209631168,grid,bearish,2022-01-21 21:30:00,trending_down,10.0
LTC/USDT-layer9,short,106.60799999999999,104.484,0.14664564084462275,15.938820380925854,0.3052219017623126,0.3052219017623126,1.9515651641189495,0.3068733828914772,网格止盈-9,1,2022-01-22 10:45:00,15.639851918555207,grid,bearish,2022-01-22 11:30:00,range_bound,9.0
LTC/USDT-layer10,short,104.75399999999999,107.895,0.15164488184441305,15.402737215675248,-0.482670737054394,-0.482670737054394,-3.037238624224982,-0.5191467747417275,网格止损-10,1,2022-01-22 11:15:00,15.891762115910733,grid,bearish,2022-01-22 12:30:00,range_bound,10.0
LTC/USDT-layer9,short,106.68799999999999,109.859,0.14619748009677785,15.127685540475525,-0.4698312160895095,-0.4698312160895095,-3.0110136509283567,-0.5607159522270184,网格止损-9,1,2022-01-22 12:00:00,15.603755763267662,grid,bearish,2022-01-22 13:15:00,range_bound,9.0
LTC/USDT-layer8,short,108.42399999999999,106.25599999999999,0.14155051057000287,15.64821507593454,0.3007425178925503,0.3007425178925503,1.9587737840745114,0.451326005078318,网格止盈-8,1,2022-01-22 12:45:00,15.353611547065208,grid,bearish,2022-01-22 15:00:00,range_bound,8.0
LTC/USDT-layer9,short,106.576,104.448,0.14649865273046303,15.918744250246892,0.3055038368450646,0.3055038368450646,1.9559148266830486,0.6275847489043815,网格止盈-9,1,2022-01-22 15:00:00,15.619485709567188,grid,bearish,2022-01-22 16:00:00,range_bound,9.0
LTC/USDT-layer7,short,110.38799999999999,108.18599999999999,0.136563010318009,15.369599364671439,0.29468178168706183,0.29468178168706183,1.9540004413497114,0.777902003048445,网格止盈-7,1,2022-01-23 00:30:00,15.08094755001757,grid,bearish,2022-01-23 02:00:00,range_bound,7.0
